City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,27.83,46,20,0.0,CA,1693255583
1,severo-yeniseyskiy,60.3725,93.0408,12.89,88,100,2.05,RU,1693256023
2,laguna,38.421,-121.4238,37.41,28,0,2.57,US,1693256023
3,tiksi,71.6872,128.8694,6.38,88,100,0.46,RU,1693256023
4,mugia,43.1041,-9.2179,18.84,84,93,5.3,ES,1693256023
5,geraldton,-28.7667,114.6,9.23,93,0,3.09,AU,1693256023
6,albany,42.6001,-73.9662,22.6,92,81,1.22,US,1693255523
7,edinburgh of the seven seas,-37.0676,-12.3116,11.73,67,13,7.17,SH,1693256023
8,kingston,17.997,-76.7936,32.53,68,20,6.17,JM,1693256024
9,chonchi,-42.6128,-73.8092,11.18,72,52,1.9,CL,1693256024
10,georgetown,5.4112,100.3354,26.96,95,20,1.03,MY,1693255872
11,saint-philippe,-21.3585,55.7679,21.77,81,31,3.32,RE,1693256024
12,robore,-18.3333,-59.75,31.05,45,0,0.0,BO,1693256024
13,adamstown,-25.066,-130.1015,21.46,87,100,12.3,PN,1693256024
14,tsiombe,-25.3,45.4833,18.42,59,100,6.03,MG,1693256024
15,carovigno,40.708,17.655,27.1,66,99,3.12,IT,1693255851
16,port-aux-francais,-49.35,70.2167,3.21,79,68,15.8,TF,1693256025
17,crane,31.3974,-102.3501,30.36,43,73,3.01,US,1693256025
18,mossel bay,-34.1831,22.146,14.96,70,0,2.86,ZA,1693256025
19,west island,-12.1568,96.8225,24.99,78,40,2.57,CC,1693256025
20,kurumkan,54.3,110.3,15.07,76,99,1.01,RU,1693256025
21,hamilton,39.1834,-84.5333,28.84,49,20,3.6,US,1693255694
22,ratne,51.6683,24.5303,20.46,69,64,3.59,UA,1693256025
23,iqaluit,63.7506,-68.5145,7.85,61,75,5.66,CA,1693256026
24,daru,-9.0763,143.2092,24.1,84,100,6.68,PG,1693256026
25,jamestown,42.097,-79.2353,23.8,68,20,5.66,US,1693255539
26,cabo san lucas,22.8909,-109.9124,35.1,67,4,4.31,MX,1693255763
27,lancaster,40.2504,-76.2499,27.06,72,75,4.63,US,1693256026
28,antsohihy,-14.8796,47.9875,22.81,60,0,4.29,MG,1693256026
29,sitka,57.0531,-135.33,18.94,72,20,2.06,US,1693255715
30,yermakovskoye,53.2831,92.4003,18.24,88,99,1.06,RU,1693256027
31,kittila,67.6647,24.8936,13.08,88,40,1.03,FI,1693255991
32,khandyga,62.6667,135.6,13.82,89,18,0.25,RU,1693256027
33,ushuaia,-54.8,-68.3,4.81,75,40,7.2,AR,1693255575
34,talnakh,69.4865,88.3972,10.97,78,93,0.87,RU,1693256027
35,mount pearl,47.5166,-52.7813,20.08,76,40,9.77,CA,1693256027
36,lebu,-37.6167,-73.65,10.15,80,93,5.38,CL,1693256027
37,sao felix do xingu,-6.6447,-51.995,31.17,45,71,0.61,BR,1693255841
38,sitangkai,4.6628,119.3928,28.69,78,100,7.34,PH,1693256028
39,vorgashor,67.5833,63.95,4.89,91,25,1.18,RU,1693256028
40,puerto natales,-51.7236,-72.4875,3.96,91,84,1.55,CL,1693256028
41,hawaiian paradise park,19.5933,-154.9731,25.96,83,75,3.6,US,1693256028
42,praia da vitoria,38.7333,-27.0667,23.2,94,75,4.37,PT,1693255939
